Nested Sampling Global Log-Evidence           :   -0.257592945211702790E+05  +/-    0.216573112199323403E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.257592945211702790E+05 +/-    0.216573112199323403E+00
Local Log-Evidence   -0.257592945211702790E+05 +/-    0.216573112199323403E+00

Dim No.       Mean        Sigma
   1    0.112632774181577466E+01    0.191267345712080338E-02
   2   -0.288171837672654041E+01    0.175581310579437666E+01
   3    0.797413547324249716E+01    0.383555927393193974E+01
   4    0.191604816859254345E+01    0.115415171338698008E+01
   5   -0.431129216670466775E+01    0.321202763783727008E+01
   6    0.157682967203771063E+01    0.622925769936346518E+00
   7   -0.299125486561282683E+00    0.566076600949680153E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.112458427137882389E+01
   2   -0.284019098338325193E+01
   3    0.122241240508876317E+02
   4    0.236221849003655748E+01
   5    0.140520964932280279E+01
   6    0.155197199347737147E+01
   7    0.337671626192333818E+00

MAP Parameters
Dim No.        Parameter
   1    0.112458427137882389E+01
   2   -0.284019098338325193E+01
   3    0.122241240508876317E+02
   4    0.236221849003655748E+01
   5    0.140520964932280279E+01
   6    0.155197199347737147E+01
   7    0.337671626192333818E+00
