Nested Sampling Global Log-Evidence           :   -0.258315024034210765E+05  +/-    0.220999039059731284E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.258315024034210765E+05 +/-    0.220999039059731284E+00
Local Log-Evidence   -0.258315024034210765E+05 +/-    0.220999039059731284E+00

Dim No.       Mean        Sigma
   1    0.112623568235973881E+01    0.186964768746807519E-02
   2   -0.138615575437636251E+01    0.928746449419942111E+00
   3    0.623500246853521123E+01    0.295956415220198066E+01
   4    0.962890032840591714E+00    0.154469583546184541E+01
   5   -0.427601526810583632E+01    0.325584265759317182E+01
   6    0.111360393313538930E+01    0.315713774587968010E+00
   7   -0.411588281829096458E+00    0.609895755593437783E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.112545326746436292E+01
   2   -0.169161582962140677E+01
   3    0.542066283298654739E+01
   4    0.189309793309648011E+01
   5   -0.229768661917290107E+01
   6    0.120657188129365855E+01
   7   -0.952530311158892307E-01

MAP Parameters
Dim No.        Parameter
   1    0.112545326746436292E+01
   2   -0.169161582962140677E+01
   3    0.542066283298654739E+01
   4    0.189309793309648011E+01
   5   -0.229768661917290107E+01
   6    0.120657188129365855E+01
   7   -0.952530311158892307E-01
