Nested Sampling Global Log-Evidence           :   -0.265168930080039427E+05  +/-    0.208808745559918463E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.265168930080039427E+05 +/-    0.208808745559918463E+00
Local Log-Evidence   -0.265168930080039427E+05 +/-    0.208808745559918463E+00

Dim No.       Mean        Sigma
   1    0.504048195223415707E+00    0.164210846142230703E-02
   2   -0.628307185864387030E+01    0.210224333194669422E+01
   3   -0.579376221605655317E+01    0.251261337700471943E+01
   4   -0.584893895318683921E+01    0.329178515624576062E+00
   5    0.920104581146869371E+01    0.317533663515106834E+01
   6   -0.170512423133234625E+01    0.139468865080982929E+01
   7   -0.415341454745443528E+01    0.335261239315689830E+01
   8    0.113819389898369105E+01    0.112300443947394066E+00
   9   -0.619122621072302426E+00    0.632469258369584897E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.504138780730485792E+00
   2   -0.515397177811169538E+01
   3   -0.560738548321753782E+01
   4   -0.574121266426266974E+01
   5    0.640747447128289860E+01
   6   -0.205285875064999113E+01
   7   -0.978538427497276686E+01
   8    0.109387223561508384E+01
   9   -0.163953656435643014E+01

MAP Parameters
Dim No.        Parameter
   1    0.504138780730485792E+00
   2   -0.515397177811169538E+01
   3   -0.560738548321753782E+01
   4   -0.574121266426266974E+01
   5    0.640747447128289860E+01
   6   -0.205285875064999113E+01
   7   -0.978538427497276686E+01
   8    0.109387223561508384E+01
   9   -0.163953656435643014E+01
