Nested Sampling Global Log-Evidence           :   -0.260966820798911976E+05  +/-    0.229251180148337980E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.260966820798911976E+05 +/-    0.229251180148337980E+00
Local Log-Evidence   -0.260966820798911976E+05 +/-    0.229251180148337980E+00

Dim No.       Mean        Sigma
   1    0.133438113741515672E+02    0.666682456393108969E-01
   2    0.226615593755128963E+00    0.459075358887446397E-01
   3    0.243645799659728352E+00    0.166074312963382709E+00
   4   -0.527486378601729733E+01    0.389539403688002828E+00
   5    0.101701141384449585E+02    0.286367795475464959E+01
   6   -0.164868595349373948E+01    0.145607077264769713E+01
   7   -0.409694837001962231E+01    0.333081106717673414E+01
   8    0.909040745032154152E+00    0.120070266054215544E+00
   9   -0.561712907433675634E+00    0.632968330941776403E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.133400174625591639E+02
   2    0.225502893963395901E+00
   3    0.138984892612046107E+00
   4   -0.483110643095273407E+01
   5    0.133036314839096796E+02
   6   -0.382936978755720769E+01
   7   -0.474886442622532279E+01
   8    0.852671106231717379E+00
   9   -0.312621670133198970E+00

MAP Parameters
Dim No.        Parameter
   1    0.133400174625591639E+02
   2    0.225502893963395901E+00
   3    0.138984892612046107E+00
   4   -0.483110643095273407E+01
   5    0.133036314839096796E+02
   6   -0.382936978755720769E+01
   7   -0.474886442622532279E+01
   8    0.852671106231717379E+00
   9   -0.312621670133198970E+00
