Nested Sampling Global Log-Evidence           :   -0.260964835286088019E+05  +/-    0.230509883889797734E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.260964835286088019E+05 +/-    0.230509883889797734E+00
Local Log-Evidence   -0.260964835286088019E+05 +/-    0.230509883889797734E+00

Dim No.       Mean        Sigma
   1    0.112593865444177199E+01    0.227592162445054182E-02
   2   -0.679936693425721828E+00    0.115813037552745690E+00
   3   -0.276277926449926481E+01    0.127149565512183638E+01
   4   -0.504932929274379116E+01    0.343722511542845000E+00
   5    0.997806858180799239E+01    0.287007953884635691E+01
   6   -0.158949814698769787E+01    0.143994828095372829E+01
   7   -0.399283606531419144E+01    0.336915875393553899E+01
   8    0.846436552413221799E+00    0.114485845099538450E+00
   9   -0.620274592323941221E+00    0.628464958486393166E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.112588355889954439E+01
   2   -0.661891016872793614E+00
   3   -0.125910412577998754E+01
   4   -0.517216145971042085E+01
   5    0.139671682366426921E+02
   6   -0.949237583685451192E+00
   7   -0.479419372699380997E+01
   8    0.922964765882520521E+00
   9    0.268483374318761125E+00

MAP Parameters
Dim No.        Parameter
   1    0.112588355889954439E+01
   2   -0.661891016872793614E+00
   3   -0.125910412577998754E+01
   4   -0.517216145971042085E+01
   5    0.139671682366426921E+02
   6   -0.949237583685451192E+00
   7   -0.479419372699380997E+01
   8    0.922964765882520521E+00
   9    0.268483374318761125E+00
