Nested Sampling Global Log-Evidence           :   -0.508415806394251013E+04  +/-    0.284869314451582090E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.508415806394251013E+04 +/-    0.284869314451582090E+00
Local Log-Evidence   -0.508415806394251013E+04 +/-    0.284869314451582090E+00

Dim No.       Mean        Sigma
   1    0.196655584281315915E-02    0.162068256597689255E-02
   2   -0.610294115032729056E+01    0.240920885702887361E+00
   3    0.101409093985465333E+02    0.287503121631073766E+01
   4    0.112715976111887728E+01    0.344123895374588928E+00
   5   -0.464039059800713183E+01    0.306995656040367759E+01
   6    0.116883256340506048E+01    0.776231072932436900E-01
   7   -0.536274309333353294E+00    0.710514106903507914E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.139164852904736066E-03
   2   -0.627186895791034438E+01
   3    0.130928736471058613E+02
   4    0.129674460946476966E+01
   5   -0.463840467483255736E+01
   6    0.123833874797062649E+01
   7   -0.379776557991189367E-01

MAP Parameters
Dim No.        Parameter
   1    0.139164852904736066E-03
   2   -0.627186895791034438E+01
   3    0.130928736471058613E+02
   4    0.129674460946476966E+01
   5   -0.463840467483255736E+01
   6    0.123833874797062649E+01
   7   -0.379776557991189367E-01
