Nested Sampling Global Log-Evidence           :   -0.887470741243388329E+04  +/-    0.301597352493734205E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.887470741243388329E+04 +/-    0.301597352493734205E+00
Local Log-Evidence   -0.887470741243388329E+04 +/-    0.301597352493734205E+00

Dim No.       Mean        Sigma
   1    0.541801835924293068E-02    0.434650701088424348E-02
   2    0.203850167059282023E+00    0.949197208388358193E-02
   3    0.270479495350609278E+00    0.232589195149956712E+00
   4    0.789323744596953300E-02    0.479980514140195425E-02
   5   -0.742166678313979933E+01    0.145714149039421237E+01
   6   -0.546219459882518343E+01    0.307591656501514155E+00
   7    0.509590859776455929E+01    0.208694562861168231E+01
   8   -0.620990405082929020E+00    0.136792308424294773E+01
   9   -0.402787876704571701E+01    0.326926446151509831E+01
  10    0.912881958278695671E+00    0.130782633536968729E+00
  11   -0.573998315304374840E+00    0.629757689214146210E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.825351063661013628E-03
   2    0.205611766945733215E+00
   3    0.653656544891750152E-01
   4    0.600265096409690127E-02
   5   -0.655910350664676667E+01
   6   -0.543471066666495783E+01
   7    0.413590873128102121E+01
   8    0.102588336144115111E+00
   9   -0.249752675646148603E+01
  10    0.872459150568847264E+00
  11   -0.455496255084247181E+00

MAP Parameters
Dim No.        Parameter
   1    0.825351063661013628E-03
   2    0.205611766945733215E+00
   3    0.653656544891750152E-01
   4    0.600265096409690127E-02
   5   -0.655910350664676667E+01
   6   -0.543471066666495783E+01
   7    0.413590873128102121E+01
   8    0.102588336144115111E+00
   9   -0.249752675646148603E+01
  10    0.872459150568847264E+00
  11   -0.455496255084247181E+00
