Nested Sampling Global Log-Evidence           :   -0.263883819790974048E+05  +/-    0.315682684141007919E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.263883819790974048E+05 +/-    0.315682684141007919E+00
Local Log-Evidence   -0.263883819790974048E+05 +/-    0.315682684141007919E+00

Dim No.       Mean        Sigma
   1    0.134771955075703254E+02    0.666920655890774761E-01
   2    0.210520157386559104E+00    0.473314341727163607E-01
   3    0.693007885169376281E+00    0.483816470541394039E+00
   4    0.109529008780964842E-01    0.985503355874838526E-02
   5    0.630878999602140444E+00    0.226976566826896847E+00
   6   -0.736017820586821792E+01    0.181439944287885480E+01
   7    0.895301706745970804E+01    0.351098473043797288E+01
   8   -0.636809653498479178E+00    0.185810206720765247E+01
   9   -0.381608965169848524E+01    0.324709928422997018E+01
  10    0.160075912558301114E+01    0.738274097954506603E+00
  11   -0.603351622101077179E+00    0.600282288049528101E+00
  12   -0.727906197328986249E+01    0.191920887296319642E+01
  13    0.891397961446133102E+01    0.358508612699735441E+01
  14   -0.656933995889599887E+00    0.189153056490801430E+01
  15   -0.385310586515163944E+01    0.319279414150193386E+01
  16    0.154595064049407349E+01    0.707217520663772081E+00
  17   -0.642962734869207631E+00    0.601734770071673197E+00
  18   -0.544377943153206889E+01    0.324624417519632336E+00
  19    0.100617093588989128E+02    0.278983216947584722E+01
  20   -0.158500053686147435E+01    0.138277774075442950E+01
  21   -0.406266114674153744E+01    0.323611243967291662E+01
  22    0.103335405252428880E+01    0.966822510510827043E-01
  23   -0.622968042109047104E+00    0.622812633464715049E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.134559074934899066E+02
   2    0.227385910068092834E+00
   3    0.643764572074495035E-02
   4    0.111146320098809144E-02
   5    0.718156070303203053E+00
   6   -0.636332406497288083E+01
   7    0.467963468894805779E+01
   8    0.449016665232963241E+00
   9   -0.773132017419147211E+01
  10    0.668720372165387045E+00
  11   -0.190715497147909918E+00
  12   -0.685043024354892349E+01
  13    0.108129549713998614E+02
  14    0.286150947061987537E+01
  15   -0.320069302859410598E+01
  16    0.144974922017548802E+01
  17   -0.721788832768015309E+00
  18   -0.551510806012058286E+01
  19    0.125991363857846608E+02
  20   -0.202636148466202304E+01
  21    0.111094100285851916E+01
  22    0.111117180416462946E+01
  23   -0.122665590052994267E+01

MAP Parameters
Dim No.        Parameter
   1    0.134559074934899066E+02
   2    0.227385910068092834E+00
   3    0.643764572074495035E-02
   4    0.111146320098809144E-02
   5    0.718156070303203053E+00
   6   -0.636332406497288083E+01
   7    0.467963468894805779E+01
   8    0.449016665232963241E+00
   9   -0.773132017419147211E+01
  10    0.668720372165387045E+00
  11   -0.190715497147909918E+00
  12   -0.685043024354892349E+01
  13    0.108129549713998614E+02
  14    0.286150947061987537E+01
  15   -0.320069302859410598E+01
  16    0.144974922017548802E+01
  17   -0.721788832768015309E+00
  18   -0.551510806012058286E+01
  19    0.125991363857846608E+02
  20   -0.202636148466202304E+01
  21    0.111094100285851916E+01
  22    0.111117180416462946E+01
  23   -0.122665590052994267E+01
