Nested Sampling Global Log-Evidence           :   -0.625400022579527104E+04  +/-    0.205594793488514227E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.625400022579527104E+04 +/-    0.205594793488514227E+00
Local Log-Evidence   -0.625400022579527104E+04 +/-    0.205594793488514227E+00

Dim No.       Mean        Sigma
   1    0.113702530995108519E+01    0.482044048096828825E-02
   2   -0.145771546781842032E+01    0.650413446467459688E+00
   3    0.972981233772176601E+01    0.310098904942393938E+01
   4    0.598166335025443030E+00    0.168303954532952149E+01
   5   -0.390491433090148199E+01    0.329427058238524273E+01
   6    0.117375452737173513E+01    0.192797035109783937E+00
   7   -0.716003319248944226E+00    0.601898302499902393E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.113389426051710274E+01
   2   -0.167314793121705208E+01
   3    0.136738708401803812E+02
   4    0.160846995053935427E+01
   5    0.136864754418051504E+01
   6    0.122726343819154571E+01
   7   -0.113766522300166195E+01

MAP Parameters
Dim No.        Parameter
   1    0.113389426051710274E+01
   2   -0.167314793121705208E+01
   3    0.136738708401803812E+02
   4    0.160846995053935427E+01
   5    0.136864754418051504E+01
   6    0.122726343819154571E+01
   7   -0.113766522300166195E+01
