Nested Sampling Global Log-Evidence           :   -0.258551712981870842E+05  +/-    0.227126950401692146E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.258551712981870842E+05 +/-    0.227126950401692146E+00
Local Log-Evidence   -0.258551712981870842E+05 +/-    0.227126950401692146E+00

Dim No.       Mean        Sigma
   1    0.112816712390810236E+01    0.220813053379482647E-02
   2   -0.819336934674979922E+00    0.235930741268228966E+00
   3   -0.112429737236943739E+01    0.137945245391619364E+01
   4   -0.664318178778046509E+01    0.862197284512759010E+00
   5    0.906033219078288532E+01    0.329184480581517525E+01
   6   -0.192380840645237167E+00    0.192475970565144894E+01
   7   -0.408723905472019666E+01    0.327669311955753084E+01
   8    0.124357388831711280E+01    0.253152289143716125E+00
   9   -0.631970483973861241E+00    0.611370686009152342E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.112666132361545035E+01
   2   -0.720593487157298540E+00
   3   -0.203057902061583029E+00
   4   -0.638791289581534549E+01
   5    0.112301347089214936E+02
   6   -0.345367863665431685E+01
   7   -0.700299068759845156E+00
   8    0.126479666086208420E+01
   9    0.182713605499529752E+00

MAP Parameters
Dim No.        Parameter
   1    0.112666132361545035E+01
   2   -0.720593487157298540E+00
   3   -0.203057902061583029E+00
   4   -0.638791289581534549E+01
   5    0.112301347089214936E+02
   6   -0.345367863665431685E+01
   7   -0.700299068759845156E+00
   8    0.126479666086208420E+01
   9    0.182713605499529752E+00
