Nested Sampling Global Log-Evidence           :   -0.264685790736476047E+05  +/-    0.259125412711321557E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.264685790736476047E+05 +/-    0.259125412711321557E+00
Local Log-Evidence   -0.264685790736476047E+05 +/-    0.259125412711321557E+00

Dim No.       Mean        Sigma
   1    0.319529947257733848E+01    0.117852648875048337E-01
   2    0.443288799082227226E-02    0.426704559126762049E-02
   3    0.510654697601619911E-01    0.479885538736116238E-01
   4   -0.611136859258950604E+01    0.409590303269434852E+00
   5    0.997711558433654488E+01    0.312010416006208136E+01
   6   -0.187911752413825583E+01    0.132764390947121691E+01
   7   -0.407339915916234041E+01    0.341330776522354906E+01
   8    0.116817669249892808E+01    0.131896760097161225E+00
   9   -0.602631533921259344E+00    0.642208765634736056E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.319864995342675762E+01
   2    0.166252449190931230E-03
   3    0.502980669502329971E-02
   4   -0.590666549649505424E+01
   5    0.866845219528400079E+01
   6   -0.220780691166282672E+01
   7   -0.108998883669364943E+01
   8    0.115393262758601178E+01
   9    0.195616447455398301E+00

MAP Parameters
Dim No.        Parameter
   1    0.319864995342675762E+01
   2    0.166252449190931230E-03
   3    0.502980669502329971E-02
   4   -0.590666549649505424E+01
   5    0.866845219528400079E+01
   6   -0.220780691166282672E+01
   7   -0.108998883669364943E+01
   8    0.115393262758601178E+01
   9    0.195616447455398301E+00
