Nested Sampling Global Log-Evidence           :   -0.261015810761450412E+05  +/-    0.321169807580902911E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.261015810761450412E+05 +/-    0.321169807580902911E+00
Local Log-Evidence   -0.261015810761450412E+05 +/-    0.321169807580902911E+00

Dim No.       Mean        Sigma
   1    0.133849986781177286E+02    0.632581043516857872E-01
   2    0.154309252522148277E+00    0.559399603788521063E-01
   3    0.849775938193851665E+00    0.494444544417874110E+00
   4    0.457625125566693131E-01    0.245698595285723659E-01
   5    0.234623565345737806E+00    0.154566455872210351E+00
   6   -0.741271447443858555E+01    0.166127118523891415E+01
   7    0.863537778430079328E+01    0.331340965264538756E+01
   8   -0.772176066564884467E+00    0.178916638433286734E+01
   9   -0.407867351665700717E+01    0.322812319912800660E+01
  10    0.156689137695189507E+01    0.734508617546667408E+00
  11   -0.650561081018539045E+00    0.617434573289135646E+00
  12   -0.738055198077582375E+01    0.171631540721156406E+01
  13    0.851972570250572581E+01    0.343302043203425455E+01
  14   -0.545028132622925265E+00    0.181123285454972249E+01
  15   -0.379783822075716060E+01    0.327118943451811894E+01
  16    0.158579722048126315E+01    0.688359784431400779E+00
  17   -0.593487472074807121E+00    0.596612298937407415E+00
  18   -0.530716485302346186E+01    0.357264219177297226E+00
  19    0.100853604631790628E+02    0.265112954221956931E+01
  20   -0.173435260372232558E+01    0.124087346936362874E+01
  21   -0.399344087538597092E+01    0.315774948845134729E+01
  22    0.920937771408719463E+00    0.107836021234373733E+00
  23   -0.625253379140816024E+00    0.602667564149856783E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.133848988838919514E+02
   2    0.202258546957570590E+00
   3    0.202587500615332150E+00
   4    0.194970957807884919E-01
   5    0.159324833166918423E+00
   6   -0.606671756543686413E+01
   7    0.891848563210853484E+01
   8   -0.125427919413441691E+01
   9    0.963247304926968084E+00
  10    0.829529772498051488E+00
  11   -0.131222807505264605E-01
  12   -0.636060099212322250E+01
  13    0.980560625898056237E+01
  14   -0.644075070459336985E+00
  15    0.143226355258608073E+01
  16    0.981819512239207715E+00
  17   -0.133166026333799170E+01
  18   -0.509792329895986640E+01
  19    0.147583535193567990E+02
  20   -0.333532311434586637E+01
  21   -0.721363755825614206E+01
  22    0.947415138926186340E+00
  23   -0.759364297056902227E+00

MAP Parameters
Dim No.        Parameter
   1    0.133848988838919514E+02
   2    0.202258546957570590E+00
   3    0.202587500615332150E+00
   4    0.194970957807884919E-01
   5    0.159324833166918423E+00
   6   -0.606671756543686413E+01
   7    0.891848563210853484E+01
   8   -0.125427919413441691E+01
   9    0.963247304926968084E+00
  10    0.829529772498051488E+00
  11   -0.131222807505264605E-01
  12   -0.636060099212322250E+01
  13    0.980560625898056237E+01
  14   -0.644075070459336985E+00
  15    0.143226355258608073E+01
  16    0.981819512239207715E+00
  17   -0.133166026333799170E+01
  18   -0.509792329895986640E+01
  19    0.147583535193567990E+02
  20   -0.333532311434586637E+01
  21   -0.721363755825614206E+01
  22    0.947415138926186340E+00
  23   -0.759364297056902227E+00
