Nested Sampling Global Log-Evidence           :   -0.315597666198569241E+05  +/-    0.240670817980793872E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.315597666198569241E+05 +/-    0.240670817980793872E+00
Local Log-Evidence   -0.315597666198569241E+05 +/-    0.240670817980793872E+00

Dim No.       Mean        Sigma
   1    0.133144686808209354E+02    0.604999806436037277E-01
   2    0.246935111415306691E+00    0.425084313007830367E-01
   3    0.137710085921271735E+00    0.110412712312826844E+00
   4   -0.542591352789069603E+01    0.281361337653793786E+00
   5    0.103394726366095728E+02    0.280975928892477178E+01
   6   -0.730940664287926478E+00    0.801674656792592200E+00
   7    0.965777518323783113E+00    0.949126526191371722E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.133324286468169753E+02
   2    0.251371030510401994E+00
   3    0.255239567965770964E-01
   4   -0.524893291662967698E+01
   5    0.913311911329732240E+01
   6   -0.152149961677071643E+01
   7    0.947366018582994851E+00

MAP Parameters
Dim No.        Parameter
   1    0.133324286468169753E+02
   2    0.251371030510401994E+00
   3    0.255239567965770964E-01
   4   -0.524893291662967698E+01
   5    0.913311911329732240E+01
   6   -0.152149961677071643E+01
   7    0.947366018582994851E+00
