Nested Sampling Global Log-Evidence           :   -0.509257046522429846E+04  +/-    0.349855693187111461E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.509257046522429846E+04 +/-    0.349855693187111461E+00
Local Log-Evidence   -0.509257046522429846E+04 +/-    0.349855693187111461E+00

Dim No.       Mean        Sigma
   1    0.367552587709249999E-02    0.235263967185475337E-02
   2    0.100674353116837626E-02    0.858886622941588290E-03
   3   -0.603667813412573739E+01    0.211311437967379112E+00
   4    0.969847730401653862E+01    0.285847850793805769E+01
   5    0.102678406464141236E+01    0.306849359714731262E+00
   6   -0.466589754214393171E+01    0.307347267929055645E+01
   7    0.114968470596171657E+01    0.737477801445163977E-01
   8   -0.483673893479503403E+00    0.673086744348657007E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.312030170558358962E-02
   2    0.159896943827644920E-03
   3   -0.630468737472727447E+01
   4    0.128626986951948759E+02
   5    0.145500930463110567E+01
   6   -0.537744721723124997E+01
   7    0.123376655918394773E+01
   8    0.184401451820882745E+00

MAP Parameters
Dim No.        Parameter
   1    0.312030170558358962E-02
   2    0.159896943827644920E-03
   3   -0.630468737472727447E+01
   4    0.128626986951948759E+02
   5    0.145500930463110567E+01
   6   -0.537744721723124997E+01
   7    0.123376655918394773E+01
   8    0.184401451820882745E+00
