Nested Sampling Global Log-Evidence           :   -0.509937126008862015E+04  +/-    0.394495164485202332E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.509937126008862015E+04 +/-    0.394495164485202332E+00
Local Log-Evidence   -0.509937126008862015E+04 +/-    0.394495164485202332E+00

Dim No.       Mean        Sigma
   1    0.342274022130162336E-02    0.218936217956522319E-02
   2    0.440406291860168759E-05    0.319730294352281039E-05
   3   -0.589249437515791730E+01    0.181278917512666976E+00
   4    0.917898357381686125E+01    0.276185022747694342E+01
   5    0.749681526705495038E+00    0.382147267235934229E+00
   6   -0.427980093603779466E+01    0.292111277867729813E+01
   7    0.111154379092890632E+01    0.678202240393097899E-01
   8   -0.657356113124026864E+00    0.699521803204098735E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.152778004644782113E-02
   2    0.135375425606389756E-05
   3   -0.602851069125162553E+01
   4    0.873008588682938580E+01
   5    0.103529656570281503E+01
   6   -0.525280796168423691E+01
   7    0.115016281954334776E+01
   8   -0.169227800620119773E+00

MAP Parameters
Dim No.        Parameter
   1    0.152778004644782113E-02
   2    0.135375425606389756E-05
   3   -0.602851069125162553E+01
   4    0.873008588682938580E+01
   5    0.103529656570281503E+01
   6   -0.525280796168423691E+01
   7    0.115016281954334776E+01
   8   -0.169227800620119773E+00
