Nested Sampling Global Log-Evidence           :   -0.972226537038092465E+04  +/-    0.718043027827456104E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           4


Mode   1
Strictly Local Log-Evidence   -0.974074982019567688E+04 +/-    0.163339432113849092E+01
Local Log-Evidence   -0.974074979159274153E+04 +/-    0.702546649962321745E+00

Dim No.       Mean        Sigma
   1    0.122691645212762018E+00    0.217381340945735834E-02
   2    0.692113921066657561E-01    0.399575258523992356E-03
   3    0.458892988515745448E+00    0.262542196631201617E-01
   4    0.184303008022642156E+00    0.283774955196766654E-02
   5    0.334792946025990190E+00    0.528774711305417754E-03
   6    0.120674465855192018E-03    0.241023028002992352E-05
   7   -0.746484939215245813E+01    0.593529316929879754E-02
   8    0.397427042444626055E+01    0.254102582679122078E-01
   9   -0.146823409288247497E+00    0.217721153308748708E-01
  10   -0.821653042841657921E+01    0.459909405091562806E-01
  11    0.202881951097825208E+01    0.159179366672753536E-01
  12   -0.520888633277182600E+00    0.137508687743541835E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.122925844897723707E+00
   2    0.690479737445985342E-01
   3    0.436002129392737248E+00
   4    0.186015457626229092E+00
   5    0.333917501322360533E+00
   6    0.120360604038520028E-03
   7   -0.745628771504725307E+01
   8    0.393056220451247063E+01
   9   -0.131412224121466359E+00
  10   -0.826294490441273055E+01
  11    0.200414316094966072E+01
  12   -0.520658927326956400E+00

MAP Parameters
Dim No.        Parameter
   1    0.122925844897723707E+00
   2    0.690479737445985342E-01
   3    0.436002129392737248E+00
   4    0.186015457626229092E+00
   5    0.333917501322360533E+00
   6    0.120360604038520028E-03
   7   -0.745628771504725307E+01
   8    0.393056220451247063E+01
   9   -0.131412224121466359E+00
  10   -0.826294490441273055E+01
  11    0.200414316094966072E+01
  12   -0.520658927326956400E+00


Mode   2
Strictly Local Log-Evidence   -0.972226537039031427E+04 +/-    0.108869403005586673E+01
Local Log-Evidence   -0.972226537039031427E+04 +/-    0.718043028356821211E+00

Dim No.       Mean        Sigma
   1    0.120809981735376479E+00    0.290051877748274218E-02
