Nested Sampling Global Log-Evidence           :   -0.121282331057673164E+05  +/-    0.343116291145906471E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.121282331057673164E+05 +/-    0.343116291145906471E+00
Local Log-Evidence   -0.121282331057673164E+05 +/-    0.343116291145906471E+00

Dim No.       Mean        Sigma
   1    0.914788864347317543E+00    0.108999872320927511E-01
   2    0.168837271128687321E-04    0.725342881688190890E-05
   3   -0.574735361156166036E+01    0.293058944268713262E+00
   4    0.847375253847711463E+01    0.315291809135748391E+01
   5    0.170740229074370309E+00    0.984204295593945289E+00
   6   -0.457449275661897481E+01    0.305608356102936085E+01
   7    0.106151348812472723E+01    0.106315392959838217E+00
   8   -0.633619126216423023E+00    0.729111269403639239E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.913385491529271287E+00
   2    0.842909269529586499E-05
   3   -0.602570353707114847E+01
   4    0.887783976873883773E+01
   5    0.107853469909751176E+01
   6    0.625833356411661157E+00
   7    0.114293977803182045E+01
   8    0.499688848917554829E+00

MAP Parameters
Dim No.        Parameter
   1    0.913385491529271287E+00
   2    0.842909269529586499E-05
   3   -0.602570353707114847E+01
   4    0.887783976873883773E+01
   5    0.107853469909751176E+01
   6    0.625833356411661157E+00
   7    0.114293977803182045E+01
   8    0.499688848917554829E+00
