Nested Sampling Global Log-Evidence           :   -0.121229580691297306E+05  +/-    0.301266383258843251E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.121229580691297306E+05 +/-    0.301266383258843251E+00
Local Log-Evidence   -0.121229580691297306E+05 +/-    0.301266383258843251E+00

Dim No.       Mean        Sigma
   1    0.585645732587737871E-02    0.389566041896991996E-02
   2    0.913353168290602091E+00    0.112470264654802535E-01
   3   -0.601500494522447138E+01    0.229347212896635122E+00
   4    0.930576863168841761E+01    0.305303796104542524E+01
   5    0.100207950378838295E+01    0.340785523325717987E+00
   6   -0.434262868777276534E+01    0.311469239769405970E+01
   7    0.113716009957508857E+01    0.842505211423806577E-01
   8   -0.842294393487337367E+00    0.671688229960908934E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.613919342500019111E-03
   2    0.914476245551098965E+00
   3   -0.605402307608091839E+01
   4    0.621515623219511060E+01
   5    0.110107580983064679E+01
   6   -0.435108201777180259E+01
   7    0.112628707643612413E+01
   8   -0.167853351129132822E+01

MAP Parameters
Dim No.        Parameter
   1    0.613919342500019111E-03
   2    0.914476245551098965E+00
   3   -0.605402307608091839E+01
   4    0.621515623219511060E+01
   5    0.110107580983064679E+01
   6   -0.435108201777180259E+01
   7    0.112628707643612413E+01
   8   -0.167853351129132822E+01
