Nested Sampling Global Log-Evidence           :   -0.259464280082529585E+05  +/-    0.260379058565052002E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.259464280082529585E+05 +/-    0.260379058565052002E+00
Local Log-Evidence   -0.259464280082529585E+05 +/-    0.260379058565052002E+00

Dim No.       Mean        Sigma
   1    0.133856510049050588E+02    0.509337140067155220E-01
   2    0.229172464112937443E-01    0.188961217450736886E-01
   3    0.110558171078705492E+01    0.522018014646806416E+00
   4    0.127053610061485956E-01    0.994463202125083455E-02
   5   -0.690775133369259997E+01    0.167778152292238625E+01
   6   -0.759648300669006016E+01    0.156362960113372718E+01
   7    0.864951644089749117E+01    0.345684284968993305E+01
   8   -0.697292271258758589E+00    0.182031133618123975E+01
   9   -0.409591565930741641E+01    0.327621888487572743E+01
  10    0.156794831959316272E+01    0.715235475843388202E+00
  11   -0.575582925006863810E+00    0.607637050102091902E+00
  12   -0.734654970994274592E+01    0.172343986267555116E+01
  13    0.864573665644622480E+01    0.348424817418222066E+01
  14   -0.729333234358642724E+00    0.180421899090893678E+01
  15   -0.402341813540539128E+01    0.323580314329355989E+01
  16    0.153059802353998742E+01    0.710786522660051379E+00
  17   -0.616256837593088136E+00    0.621554132738296294E+00
  18   -0.566421663792149221E+01    0.261096295945164425E+00
  19    0.104276387068151788E+02    0.263755185926364399E+01
  20   -0.161534173001880554E+01    0.135357710618805860E+01
  21   -0.400274867221109343E+01    0.323684568947782036E+01
  22    0.112943748690311274E+01    0.754235803823665590E-01
  23   -0.646996225821403259E+00    0.609795483820719908E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.133550363451726302E+02
   2    0.469928799830623359E-02
   3    0.110759748472469344E+01
   4    0.210860692667158263E-02
   5   -0.443547414255557637E+01
   6   -0.460579102479754088E+01
   7    0.775276682217906732E+01
   8   -0.265224032984542113E+01
   9   -0.627967128255489726E+00
  10    0.120493774475416515E+01
  11   -0.747218524107278625E+00
  12   -0.743327347136008765E+01
  13    0.633422251141562587E+01
  14   -0.195729037700103281E+01
  15   -0.312173038919324242E+00
  16    0.215121983590175825E+01
  17   -0.277238248400060172E+00
  18   -0.561262818448661260E+01
  19    0.122716808464497085E+02
  20   -0.133730305598446364E+01
  21   -0.933299055632681984E+01
  22    0.113214375095943609E+01
  23   -0.820856433232989402E+00

MAP Parameters
Dim No.        Parameter
   1    0.133550363451726302E+02
   2    0.469928799830623359E-02
   3    0.110759748472469344E+01
   4    0.210860692667158263E-02
   5   -0.443547414255557637E+01
   6   -0.460579102479754088E+01
   7    0.775276682217906732E+01
   8   -0.265224032984542113E+01
   9   -0.627967128255489726E+00
  10    0.120493774475416515E+01
  11   -0.747218524107278625E+00
  12   -0.743327347136008765E+01
  13    0.633422251141562587E+01
  14   -0.195729037700103281E+01
  15   -0.312173038919324242E+00
  16    0.215121983590175825E+01
  17   -0.277238248400060172E+00
  18   -0.561262818448661260E+01
  19    0.122716808464497085E+02
  20   -0.133730305598446364E+01
  21   -0.933299055632681984E+01
  22    0.113214375095943609E+01
  23   -0.820856433232989402E+00
