Nested Sampling Global Log-Evidence           :   -0.268442463285075464E+05  +/-    0.266937355888129613E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.268442463285075464E+05 +/-    0.266937355888129613E+00
Local Log-Evidence   -0.268442463285075464E+05 +/-    0.266937355888129613E+00

Dim No.       Mean        Sigma
   1    0.322091107993697179E+01    0.124608823399044357E-01
   2    0.557580540592004549E-02    0.548448796284601268E-02
   3    0.665586233969981400E-01    0.601533175163124975E-01
   4   -0.563057319517039900E+01    0.214494339676771284E+00
   5    0.815217984859032185E+01    0.325752023424384340E+01
   6   -0.207933958077479986E+01    0.118238928011456790E+01
   7   -0.387940334950839194E+01    0.332372533849222407E+01
   8    0.116051707102815982E+01    0.921175157623719126E-01
   9   -0.593189071376514332E+00    0.631360037666392815E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.322134412791392277E+01
   2    0.132299601958012474E-02
   3    0.357112422780988962E-02
   4   -0.537891347890936711E+01
   5    0.431334958872680918E+01
   6   -0.360021694627344280E+01
   7   -0.323642181266602424E+01
   8    0.992595498976070023E+00
   9   -0.924933398093205739E+00

MAP Parameters
Dim No.        Parameter
   1    0.322134412791392277E+01
   2    0.132299601958012474E-02
   3    0.357112422780988962E-02
   4   -0.537891347890936711E+01
   5    0.431334958872680918E+01
   6   -0.360021694627344280E+01
   7   -0.323642181266602424E+01
   8    0.992595498976070023E+00
   9   -0.924933398093205739E+00
