Nested Sampling Global Log-Evidence           :   -0.275669243968737428E+05  +/-    0.250725369304853229E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.275669243968737428E+05 +/-    0.250725369304853229E+00
Local Log-Evidence   -0.275669243968737428E+05 +/-    0.250725369304853229E+00

Dim No.       Mean        Sigma
   1    0.128258249104811330E+02    0.655345869517015150E-01
   2    0.426388374625916652E-01    0.363914037975820032E-01
   3    0.780146873658083551E+00    0.533916829067089260E+00
   4    0.816539628140925400E+00    0.313988721353011674E-01
   5    0.177378291282146022E-01    0.173396454751610397E-01
   6    0.401986528705580547E-04    0.356421931640214418E-04
   7   -0.476063424405907742E+01    0.281131207862684807E+00
   8    0.994972840132193959E+01    0.306249362228299482E+01
   9   -0.116784740120454544E+01    0.111259224378038635E+01
  10   -0.102197118789538477E+01    0.112437851810729761E+01
  11    0.892074262369352056E+00    0.937321393541798442E-01
  12   -0.708452160469898895E+00    0.716903387069750431E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.128877794021047691E+02
   2    0.424228719636020237E-02
   3    0.392306595767503596E+00
   4    0.853984412065920795E+00
   5    0.319386012664690452E-02
   6    0.169299575183886000E-04
   7   -0.464554120897632039E+01
   8    0.744101464766364096E+01
   9   -0.186416615779382200E+01
  10   -0.572913223305493879E+00
  11    0.860813752786376285E+00
  12   -0.618422017184035333E+00

MAP Parameters
Dim No.        Parameter
   1    0.128877794021047691E+02
   2    0.424228719636020237E-02
   3    0.392306595767503596E+00
   4    0.853984412065920795E+00
   5    0.319386012664690452E-02
   6    0.169299575183886000E-04
   7   -0.464554120897632039E+01
   8    0.744101464766364096E+01
   9   -0.186416615779382200E+01
  10   -0.572913223305493879E+00
  11    0.860813752786376285E+00
  12   -0.618422017184035333E+00
