Nested Sampling Global Log-Evidence           :   -0.270846479459210386E+05  +/-    0.240812037120959499E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.270846479459210386E+05 +/-    0.240812037120959499E+00
Local Log-Evidence   -0.270846479459210386E+05 +/-    0.240812037120959499E+00

Dim No.       Mean        Sigma
   1    0.132009886474296110E+02    0.962310159847420549E-01
   2    0.418716486898144391E-01    0.345002339251053725E-01
   3    0.131205414603646231E+01    0.507367277361068569E+00
   4    0.942634890380983248E+00    0.302466583346692047E-01
   5    0.937902810288952643E-01    0.760851481575845479E-01
   6    0.244175840594459341E-03    0.310418210456472787E-04
   7   -0.757377126367701781E+01    0.165077652853213186E+01
   8    0.863194778580183630E+01    0.365558788747396779E+01
   9   -0.535394850169126801E+00    0.135283966467663208E+01
  10   -0.520526087507268254E+00    0.818337802351939869E+00
  11    0.175787080399766804E+01    0.729382269401910754E+00
  12   -0.747648762111412735E+00    0.709100024597146716E+00
  13   -0.278196891840470562E+01    0.245168524716177755E+00
  14    0.973687164732010046E+01    0.295074603372170285E+01
  15   -0.103772363413811775E+01    0.112544890671912245E+01
  16   -0.484524313339774249E+00    0.826992642313590820E+00
  17    0.132452370618504678E+01    0.811655481237477383E-01
  18   -0.755809057696664843E+00    0.717453318232024628E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.132671444563252514E+02
   2    0.367144088083917264E-02
   3    0.192289526798502175E+01
   4    0.983841345076548190E+00
   5    0.199635144341654934E-01
   6    0.244260868342886415E-03
   7   -0.834112388273983996E+01
   8    0.522025081842781979E+01
   9   -0.213667237173633762E+01
  10   -0.892082489886279140E+00
  11    0.181468577597484626E+01
  12   -0.886628010605355010E+00
  13   -0.293700543817588233E+01
  14    0.829528374931880741E+01
  15    0.107822481687911420E+00
  16   -0.432065028494128534E+00
  17    0.136286904014128596E+01
  18   -0.275066636713972024E-02

MAP Parameters
Dim No.        Parameter
   1    0.132671444563252514E+02
   2    0.367144088083917264E-02
   3    0.192289526798502175E+01
   4    0.983841345076548190E+00
   5    0.199635144341654934E-01
   6    0.244260868342886415E-03
   7   -0.834112388273983996E+01
   8    0.522025081842781979E+01
   9   -0.213667237173633762E+01
  10   -0.892082489886279140E+00
  11    0.181468577597484626E+01
  12   -0.886628010605355010E+00
  13   -0.293700543817588233E+01
  14    0.829528374931880741E+01
  15    0.107822481687911420E+00
  16   -0.432065028494128534E+00
  17    0.136286904014128596E+01
  18   -0.275066636713972024E-02
