Nested Sampling Global Log-Evidence           :   -0.444949214553829552E+04  +/-    0.198175886015652392E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.444949214553829552E+04 +/-    0.198175886015652392E+00
Local Log-Evidence   -0.444949214553829552E+04 +/-    0.198175886015652392E+00

Dim No.       Mean        Sigma
   1    0.115294430485017751E+01    0.792151017445850633E-02
   2    0.767065053922155043E-02    0.129346111995553947E+01
   3    0.999425390679624215E+01    0.286907860518060165E+01
   4   -0.114996809493536478E+01    0.164291217095852171E+01
   5   -0.445949495156626252E+01    0.319971547722950689E+01
   6    0.727681237919477697E+00    0.264796095803351395E+00
   7   -0.577627400126574098E+00    0.606610648050792345E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.114701087389727352E+01
   2    0.832665296451928327E+00
   3    0.148408473333374005E+02
   4   -0.284132379913728528E+01
   5   -0.346214167625850688E+01
   6    0.572969802959001462E+00
   7   -0.536664046189676114E+00

MAP Parameters
Dim No.        Parameter
   1    0.114701087389727352E+01
   2    0.832665296451928327E+00
   3    0.148408473333374005E+02
   4   -0.284132379913728528E+01
   5   -0.346214167625850688E+01
   6    0.572969802959001462E+00
   7   -0.536664046189676114E+00
